iter	Passed	Remaining
0	0	602
1	1	548
2	1	557
3	2	566
4	2	567
5	3	569
6	3	561
7	4	559
8	5	555
9	5	551
10	6	549
11	6	549
12	7	546
13	7	545
14	8	547
15	8	548
16	9	548
17	9	545
18	10	546
19	11	551
20	11	556
21	12	560
22	13	560
23	13	557
24	14	555
25	14	554
26	15	551
27	15	549
28	16	550
29	16	549
30	17	546
31	18	545
32	18	545
33	19	542
34	19	541
35	20	541
36	20	539
37	21	538
38	21	537
39	22	537
40	22	537
41	23	539
42	24	539
43	24	539
44	25	540
45	26	540
46	26	539
47	27	538
48	27	537
49	28	537
50	28	537
51	29	536
52	29	535
53	30	534
54	31	534
55	31	534
56	32	533
57	32	532
58	33	532
59	33	531
60	34	530
61	35	529
62	35	528
63	36	528
64	36	527
65	37	528
66	37	528
67	38	528
68	39	527
69	39	526
70	40	525
71	40	525
72	41	525
73	41	524
74	42	523
75	42	522
76	43	521
77	44	521
78	44	520
79	45	519
80	45	518
81	46	517
82	46	513
83	47	513
84	47	512
85	48	512
86	48	511
87	49	510
88	49	509
89	50	508
90	50	508
91	51	508
92	52	507
93	52	508
94	53	508
95	54	508
96	54	507
97	55	507
98	55	506
99	56	506
100	56	505
101	57	504
102	57	504
103	58	503
104	59	503
105	59	502
106	60	501
107	60	501
108	61	500
109	61	500
110	62	499
111	62	498
112	63	497
113	63	496
114	64	496
115	65	495
116	65	494
117	66	493
118	66	493
119	67	492
120	67	492
121	68	491
122	68	490
123	69	490
124	69	489
125	70	489
126	70	487
127	71	486
128	72	486
129	72	485
130	73	485
131	73	484
132	74	484
133	74	483
134	75	482
135	75	481
136	76	481
137	76	480
138	77	479
139	77	479
140	78	478
141	78	476
142	79	475
143	79	474
144	80	473
145	80	472
146	81	471
147	81	471
148	82	470
149	82	469
150	83	468
151	83	467
152	84	467
153	84	466
154	85	466
155	86	465
156	86	465
157	87	464
158	87	463
159	88	462
160	88	460
161	88	459
162	89	459
163	89	458
164	90	457
165	90	456
166	91	455
167	91	454
168	92	453
169	92	452
170	93	451
171	93	450
172	94	449
173	94	448
174	94	447
175	95	446
176	95	445
177	96	445
178	96	444
179	97	443
180	97	442
181	98	441
182	98	441
183	99	440
184	99	440
185	100	439
186	100	439
187	101	438
188	101	437
189	102	436
190	102	435
191	103	434
192	103	434
193	104	433
194	104	432
195	105	431
196	105	430
197	106	429
198	106	429
199	107	428
200	107	427
201	107	426
202	108	425
203	108	424
204	109	423
205	109	423
206	110	422
207	110	421
208	111	420
209	111	419
210	112	419
211	112	418
212	112	417
213	113	416
214	114	416
215	114	415
216	115	415
217	115	415
218	116	414
219	116	413
220	117	412
221	117	411
222	118	411
223	118	410
224	118	409
225	119	409
226	119	408
227	120	407
228	120	406
229	121	405
230	121	404
231	122	404
232	122	403
233	123	402
234	123	401
235	123	401
236	124	400
237	124	399
238	125	399
239	125	398
240	126	397
241	126	396
242	127	396
243	127	395
244	128	394
245	128	394
246	129	393
247	129	393
248	130	392
249	130	392
250	131	391
251	131	390
252	132	390
253	132	389
254	133	388
255	133	388
256	133	387
257	134	386
258	134	385
259	135	385
260	135	384
261	136	383
262	136	382
263	137	382
264	137	381
265	137	380
266	138	381
267	139	380
268	139	379
269	140	379
270	140	378
271	141	378
272	141	377
273	142	376
274	142	375
275	143	375
276	143	374
277	144	374
278	144	374
279	145	373
280	145	373
281	146	372
282	146	372
283	147	371
284	148	371
285	148	370
286	149	370
287	149	369
288	149	368
289	150	368
290	150	367
291	151	366
292	151	366
293	152	365
294	152	364
295	153	364
296	153	363
297	154	363
298	154	363
299	155	363
300	156	362
301	156	362
302	157	361
303	157	361
304	158	360
305	158	359
306	159	359
307	159	359
308	160	358
309	161	358
310	161	357
311	162	357
312	162	356
313	163	356
314	163	355
315	164	355
316	164	355
317	165	354
318	165	354
319	166	353
320	166	352
321	167	351
322	167	351
323	168	350
324	168	350
325	168	349
326	169	348
327	169	348
328	170	347
329	170	346
330	171	346
331	171	345
332	172	344
333	172	344
334	173	343
335	173	342
336	174	342
337	174	342
338	175	341
339	175	341
340	176	340
341	176	340
342	177	339
343	177	339
344	178	338
345	178	338
346	179	337
347	179	336
348	180	336
349	180	335
350	181	334
351	181	334
352	182	333
353	182	333
354	182	332
355	183	331
356	183	331
357	184	330
358	184	329
359	185	329
360	185	328
361	186	327
362	186	327
363	187	326
364	187	326
365	187	325
366	188	324
367	188	324
368	189	323
369	190	323
370	190	323
371	191	322
372	191	321
373	191	321
374	192	320
375	192	320
376	193	319
377	193	318
378	194	318
379	194	317
380	195	316
381	195	316
382	195	315
383	196	315
384	196	314
385	197	313
386	197	313
387	198	312
388	198	312
389	199	311
390	199	310
391	200	310
392	200	309
393	200	309
394	201	308
395	201	307
396	202	307
397	202	306
398	203	306
399	203	305
400	204	304
401	204	304
402	205	303
403	205	303
404	206	302
405	206	302
406	207	301
407	207	301
408	207	300
409	208	299
410	208	299
411	209	298
412	209	298
413	210	297
414	210	296
415	211	296
416	211	295
417	211	295
418	212	294
419	212	293
420	213	293
421	213	292
422	214	292
423	214	291
424	215	291
425	215	290
426	216	289
427	216	289
428	216	288
429	217	288
430	217	287
431	218	286
432	218	286
433	219	285
434	219	285
435	220	285
436	220	284
437	221	284
438	221	283
439	222	282
440	222	282
441	223	281
442	223	281
443	224	280
444	224	279
445	224	279
446	225	278
447	225	278
448	226	277
449	226	277
450	227	276
451	227	276
452	228	275
453	228	274
454	229	274
455	229	273
456	229	273
457	230	272
458	230	272
459	231	271
460	231	270
461	232	270
462	232	269
463	233	269
464	233	268
465	233	268
466	234	267
467	235	267
468	235	266
469	236	266
470	236	266
471	237	265
472	238	265
473	238	264
474	238	264
475	239	263
476	239	263
477	240	262
478	241	262
479	241	261
480	241	261
481	242	260
482	242	259
483	243	259
484	243	258
485	244	258
486	244	257
487	245	257
488	245	256
489	245	255
490	246	255
491	246	254
492	247	254
493	247	253
494	248	253
495	248	252
496	249	252
497	249	251
498	250	251
499	250	250
500	251	250
501	251	249
502	252	249
503	252	248
504	253	248
505	253	247
506	254	247
507	254	246
508	255	246
509	255	245
510	256	245
511	256	244
512	257	244
513	257	243
514	258	243
515	258	242
516	259	242
517	259	241
518	260	241
519	260	240
520	260	239
521	261	239
522	261	238
523	262	238
524	262	237
525	263	237
526	263	236
527	264	236
528	264	235
529	264	234
530	265	234
531	266	234
532	266	233
533	267	233
534	267	232
535	268	232
536	268	231
537	269	231
538	269	230
539	269	229
540	270	229
541	270	228
542	271	228
543	271	227
544	272	227
545	272	226
546	273	226
547	273	225
548	273	225
549	274	224
550	274	223
551	275	223
552	275	222
553	276	222
554	276	221
555	277	221
556	277	220
557	277	220
558	278	219
559	278	219
560	279	218
561	279	217
562	280	217
563	280	216
564	281	216
565	281	215
566	282	215
567	282	214
568	283	214
569	283	213
570	284	213
571	284	212
572	285	212
573	285	212
574	286	211
575	286	210
576	287	210
577	287	209
578	287	209
579	288	208
580	288	208
581	289	207
582	289	207
583	290	206
584	290	206
585	290	205
586	291	205
587	291	204
588	292	203
589	292	203
590	293	202
591	293	202
592	294	201
593	294	201
594	294	200
595	295	200
596	295	199
597	296	199
598	296	198
599	297	198
600	297	197
601	298	197
602	298	196
603	299	196
604	299	195
605	300	195
606	300	194
607	300	194
608	301	193
609	301	192
610	302	192
611	302	191
612	303	191
613	303	190
614	303	190
615	304	189
616	304	189
617	305	188
618	305	188
619	306	187
620	306	187
621	307	186
622	307	186
623	307	185
624	308	185
625	308	184
626	309	184
627	309	183
628	310	182
629	310	182
630	311	182
631	311	181
632	312	181
633	313	180
634	313	180
635	314	179
636	314	179
637	315	178
638	315	178
639	316	177
640	316	177
641	316	176
642	317	176
643	317	175
644	318	175
645	318	174
646	319	174
647	319	173
648	320	173
649	320	172
650	321	172
651	321	171
652	321	171
653	322	170
654	322	170
655	323	169
656	323	168
657	324	168
658	324	167
659	325	167
660	325	166
661	326	166
662	326	165
663	327	165
664	327	165
665	328	164
666	328	164
667	328	163
668	329	162
669	329	162
670	330	161
671	330	161
672	331	160
673	331	160
674	332	159
675	332	159
676	332	158
677	333	158
678	333	157
679	334	157
680	334	156
681	335	156
682	335	155
683	335	155
684	336	154
685	336	154
686	337	153
687	337	153
688	338	152
689	338	152
690	339	151
691	339	151
692	340	150
693	340	150
694	340	149
695	341	149
696	342	148
697	342	148
698	342	147
699	343	147
700	343	146
701	344	146
702	344	145
703	345	145
704	345	144
705	346	144
706	346	143
707	346	143
708	347	142
709	347	142
710	348	141
711	348	141
712	349	140
713	349	140
714	350	139
715	350	139
716	350	138
717	351	138
718	351	137
719	352	136
720	352	136
721	353	135
722	353	135
723	354	134
724	354	134
725	354	133
726	355	133
727	355	132
728	356	132
729	356	132
730	357	131
731	357	131
732	358	130
733	358	130
734	359	129
735	359	128
736	360	128
737	360	127
738	360	127
739	361	126
740	361	126
741	362	125
742	362	125
743	363	124
744	363	124
745	364	123
746	364	123
747	364	122
748	365	122
749	365	121
750	366	121
751	366	120
752	367	120
753	367	119
754	368	119
755	368	118
756	368	118
757	369	117
758	369	117
759	370	116
760	370	116
761	371	115
762	371	115
763	372	114
764	372	114
765	373	113
766	373	113
767	374	113
768	374	112
769	375	112
770	375	111
771	376	111
772	376	110
773	377	110
774	377	109
775	377	109
776	378	108
777	378	108
778	379	107
779	379	107
780	380	106
781	380	106
782	381	105
783	381	105
784	381	104
785	382	104
786	382	103
787	383	103
788	383	102
789	384	102
790	384	101
791	385	101
792	385	100
793	386	100
794	386	99
795	387	99
796	387	98
797	388	98
798	388	97
799	389	97
800	389	96
801	390	96
802	390	95
803	390	95
804	391	94
805	391	94
806	392	93
807	392	93
808	393	92
809	393	92
810	394	91
811	394	91
812	395	90
813	395	90
814	395	89
815	396	89
816	396	88
817	397	88
818	397	87
819	398	87
820	398	86
821	399	86
822	399	85
823	400	85
824	400	84
825	400	84
826	401	83
827	402	83
828	402	83
829	403	82
830	403	82
831	404	81
832	404	81
833	404	80
834	405	80
835	405	79
836	406	79
837	406	78
838	407	78
839	407	77
840	408	77
841	408	76
842	408	76
843	409	75
844	409	75
845	410	74
846	410	74
847	411	73
848	411	73
849	412	72
850	412	72
851	413	71
852	413	71
853	414	70
854	414	70
855	415	69
856	415	69
857	416	68
858	417	68
859	417	67
860	418	67
861	418	66
862	419	66
863	419	66
864	420	65
865	420	65
866	421	64
867	421	64
868	422	63
869	422	63
870	423	62
871	423	62
872	424	61
873	424	61
874	425	60
875	425	60
876	426	59
877	426	59
878	427	58
879	427	58
880	427	57
881	428	57
882	428	56
883	429	56
884	429	55
885	430	55
886	430	54
887	431	54
888	431	53
889	432	53
890	432	52
891	433	52
892	433	51
893	434	51
894	434	50
895	435	50
896	435	50
897	436	49
898	436	49
899	437	48
900	437	48
901	438	47
902	438	47
903	438	46
904	439	46
905	439	45
906	440	45
907	440	44
908	441	44
909	441	43
910	442	43
911	442	42
912	443	42
913	443	41
914	443	41
915	444	40
916	444	40
917	445	39
918	445	39
919	446	38
920	446	38
921	447	37
922	447	37
923	448	36
924	448	36
925	449	35
926	449	35
927	450	34
928	450	34
929	451	33
930	451	33
931	452	32
932	452	32
933	453	32
934	453	31
935	454	31
936	454	30
937	455	30
938	455	29
939	455	29
940	456	28
941	456	28
942	457	27
943	457	27
944	458	26
945	458	26
946	459	25
947	459	25
948	459	24
949	460	24
950	460	23
951	461	23
952	461	22
953	462	22
954	463	21
955	463	21
956	464	20
957	464	20
958	465	19
959	465	19
960	466	18
961	466	18
962	467	17
963	468	17
964	468	16
965	469	16
966	469	16
967	469	15
968	470	15
969	470	14
970	471	14
971	471	13
972	472	13
973	472	12
974	473	12
975	473	11
976	474	11
977	474	10
978	475	10
979	475	9
980	476	9
981	476	8
982	476	8
983	477	7
984	478	7
985	478	6
986	479	6
987	479	5
988	480	5
989	480	4
990	481	4
991	481	3
992	482	3
993	482	2
994	483	2
995	483	1
996	484	1
997	484	0
998	485	0
999	485	0
